target_row,risk,external_product_id,seed_id,title,canonical_url,pdp_url,sellable_item_group_id,product_line_id,identity_status,review_required,live_read_enabled,seed_updated_at,identity_updated_at,seed_active_items,seed_active_raw,identity_active_items,identity_active_raw,seed_details_count,identity_details_count,seed_how_to_len,identity_how_to_len,seed_image_count,identity_image_count,duplicate_seed_count_for_url,duplicate_sig_count_for_url,sibling_external_ids,sibling_sig_ids,canonical_content_ref,fresh_best_content_ref,recommended_action
true,canonical_gap_without_same_url_fragmentation,ext_918981bcc6d552cc2af0b535,eps_bde436f20eee4cba8bdf95ef,Banana Bright+ Eye Crème,https://olehenriksen.com/products/banana-bright-eye-creme,https://agent.pivota.cc/products/sig_919e963e7d7a740f5f496e87,sig_919e963e7d7a740f5f496e87,pl_3b67ac1b4bd02a703483ea72,approved,false,true,2026-05-14T14:52:37.319Z,2026-05-16T17:49:36.741Z,Vitamin C (Ascorbic acid)|Glycerin,,,,0,0,0,0,11,11,1,1,ext_918981bcc6d552cc2af0b535,sig_919e963e7d7a740f5f496e87,external_seed:ext_918981bcc6d552cc2af0b535,external_seed:ext_918981bcc6d552cc2af0b535,manual canonical gap review before write
true,canonical_gap_without_same_url_fragmentation,ext_47fe725499e880c01ccfc134,eps_1e03ba7d93b94e2db27cd811,Banana Bright Face Primer,https://olehenriksen.com/products/banana-bright-face-primer,https://agent.pivota.cc/products/sig_a490ed5bdf736d26b6c69cb2,sig_a490ed5bdf736d26b6c69cb2,pl_4a381adc60a7511e737f9ac1,approved,false,true,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,Vitamin C (Ascorbic acid)|Glycerin|Squalane,,,,0,0,0,0,3,3,1,1,ext_47fe725499e880c01ccfc134,sig_a490ed5bdf736d26b6c69cb2,external_seed:ext_47fe725499e880c01ccfc134,external_seed:ext_47fe725499e880c01ccfc134,manual canonical gap review before write
true,identity_fragmentation_same_canonical_url,ext_19bf66093385858dcb0d6956,eps_5864dd3a91694ea49c491c81,Detox Drops 2% Salicylic Acid Toner,https://olehenriksen.com/products/detox-drops-2-salicylic-acid-toner-4oz,https://agent.pivota.cc/products/sig_c22649a970fcc8bc7b9b907d,sig_c22649a970fcc8bc7b9b907d,pl_2d1a0890a5f29a75e2ae0695,approved,false,true,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,Salicylic acid,"SALICYLIC ACID (BHA)
OTC-LEVEL, EXFOLIATES SKIN, TARGETS + TREATS ACNE

DANISH PURPLE WILLOW FERMENT
CLARIFIES + CONTROLS SURFACE OIL

JUNIPER BERRY
ANTIOXIDANT-RICH HYDRATION TO SOFTEN + CALM SKIN

CUCUMBER EXTRACT
NOURISHES SKIN",,,0,0,0,0,10,9,3,3,ext_19bf66093385858dcb0d6956|ext_35b321dde624f955996315cb|ext_842d06e9f8039ddcc784fccb,sig_c22649a970fcc8bc7b9b907d|sig_321dbf4dec06e85f71be9b36|sig_e082e10438e89dbe8f94b89a,external_seed:ext_19bf66093385858dcb0d6956,external_seed:ext_19bf66093385858dcb0d6956,run entity-resolution/identity merge review before PDP payload sync
false,identity_fragmentation_same_canonical_url,ext_35b321dde624f955996315cb,eps_d700ff23d2f644dd907d28e8,Detox Drops 2% Salicylic Acid Toner,https://olehenriksen.com/products/detox-drops-2-salicylic-acid-toner-4oz,https://agent.pivota.cc/products/sig_321dbf4dec06e85f71be9b36,sig_321dbf4dec06e85f71be9b36,pl_3c0accdad4d1125793420fbf,approved,false,true,2026-05-14T14:52:37.319Z,2026-05-16T17:39:39.195Z,Salicylic acid,,Salicylic acid,,0,0,0,0,10,7,3,3,ext_19bf66093385858dcb0d6956|ext_35b321dde624f955996315cb|ext_842d06e9f8039ddcc784fccb,sig_c22649a970fcc8bc7b9b907d|sig_321dbf4dec06e85f71be9b36|sig_e082e10438e89dbe8f94b89a,,,run entity-resolution/identity merge review before PDP payload sync
true,identity_fragmentation_same_canonical_url,ext_842d06e9f8039ddcc784fccb,eps_c8aa92582d1c4398a9523d6f,Detox Drops 2% Salicylic Acid Toner,https://olehenriksen.com/products/detox-drops-2-salicylic-acid-toner-4oz,https://agent.pivota.cc/products/sig_e082e10438e89dbe8f94b89a,sig_e082e10438e89dbe8f94b89a,pl_637414f2cbfc920b2e1ef76b,approved,false,true,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,Panthenol (B5)|Niacinamide|Zinc PCA|Vitamin C (Ascorbic acid)|Glycerin|Squalane|Peptides,"SALICYLIC ACID (BHA)
OTC-LEVEL, EXFOLIATES SKIN, TARGETS + TREATS ACNE

DANISH PURPLE WILLOW FERMENT
CLARIFIES + CONTROLS SURFACE OIL

JUNIPER BERRY
ANTIOXIDANT-RICH HYDRATION TO SOFTEN + CALM SKIN

CUCUMBER EXTRACT
NOURISHES SKIN",,,0,0,0,0,10,9,3,3,ext_19bf66093385858dcb0d6956|ext_35b321dde624f955996315cb|ext_842d06e9f8039ddcc784fccb,sig_c22649a970fcc8bc7b9b907d|sig_321dbf4dec06e85f71be9b36|sig_e082e10438e89dbe8f94b89a,external_seed:ext_842d06e9f8039ddcc784fccb,external_seed:ext_842d06e9f8039ddcc784fccb,run entity-resolution/identity merge review before PDP payload sync
true,canonical_gap_without_same_url_fragmentation,ext_99c2d94131f26d563e2093bc,eps_abc59974216949188eefd5a1,Dewtopia 20% Acid Night Treatment,https://olehenriksen.com/products/dewtopia-20-acid-night-treatment,https://agent.pivota.cc/products/sig_654db3eb15313f864eeee78a,sig_654db3eb15313f864eeee78a,pl_db9ebbfce49ef03a7bc71c3d,approved,false,true,2026-05-14T14:52:37.319Z,2026-05-16T17:39:40.636Z,Glycerin|Glycolic acid|Lactic acid,,,,0,0,0,0,19,1,1,1,ext_99c2d94131f26d563e2093bc,sig_654db3eb15313f864eeee78a,external_seed:ext_99c2d94131f26d563e2093bc,external_seed:ext_99c2d94131f26d563e2093bc,manual canonical gap review before write
true,canonical_gap_without_same_url_fragmentation,ext_4ea95b9803d90ab1e5cb8393,eps_aa0597db48a2465b922d9e10,Double Rewind 0.3% Pro-Grade Retinol Serum,https://olehenriksen.com/products/double-rewind-pro-grade-retinol-serum,https://agent.pivota.cc/products/sig_c27482fb0e195e3e62a57393,sig_c27482fb0e195e3e62a57393,pl_2b3c38cd26dab9a72a66cacc,approved,false,true,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,Retinol|Glycerin|Hyaluronic acid|Lactic acid,,,,0,0,0,0,14,14,1,1,ext_4ea95b9803d90ab1e5cb8393,sig_c27482fb0e195e3e62a57393,external_seed:ext_4ea95b9803d90ab1e5cb8393,external_seed:ext_4ea95b9803d90ab1e5cb8393,manual canonical gap review before write
true,canonical_gap_without_same_url_fragmentation,ext_27ecddfd70b28613b9cdd8a7,eps_4ec07d203a2447c989d30a20,Pore-Balance Facial Sauna Scrub,https://olehenriksen.com/products/pore-balance-facial-sauna-scrub,https://agent.pivota.cc/products/sig_b7e5ca80dcc491bbbb2f19ea,sig_b7e5ca80dcc491bbbb2f19ea,pl_4247c52f7c05b46aecb17bd3,approved,false,true,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,Panthenol (B5)|Niacinamide|Zinc PCA|Vitamin C (Ascorbic acid)|Glycerin|Squalane|Peptides,,,,0,0,0,0,16,2,1,1,ext_27ecddfd70b28613b9cdd8a7,sig_b7e5ca80dcc491bbbb2f19ea,external_seed:ext_27ecddfd70b28613b9cdd8a7,external_seed:ext_27ecddfd70b28613b9cdd8a7,manual canonical gap review before write
true,canonical_gap_without_same_url_fragmentation,ext_3fe128d1441a94c26364da2b,eps_08bfd4cd86b74cfa9c2c34b9,Pout Preserve Peptide Lip Treatment,https://olehenriksen.com/products/pout-preserve-peptide-lip-treatment,https://agent.pivota.cc/products/sig_37b0256e9641fbae7e91420c,sig_37b0256e9641fbae7e91420c,pl_1c31aabf4d12ebde5ff0bd6f,approved,false,true,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,Peptides|Lactic acid,,,,0,0,0,0,56,56,1,1,ext_3fe128d1441a94c26364da2b,sig_37b0256e9641fbae7e91420c,external_seed:ext_3fe128d1441a94c26364da2b,external_seed:ext_3fe128d1441a94c26364da2b,manual canonical gap review before write
true,canonical_gap_without_same_url_fragmentation,ext_df461e9f2856b689eb1914a8,eps_5795855e37414aafa0ada34a,Pout Preserve Sugar Melt Lip Scrub,https://olehenriksen.com/products/pout-preserve-sugar-melt-lip-scrub,https://agent.pivota.cc/products/sig_28a7af30de8846969663a045,sig_28a7af30de8846969663a045,pl_68bfbf3eeaec315d461d4c9f,approved,false,true,2026-05-14T14:52:37.319Z,2026-04-12T14:31:28.102Z,,"FINE GRANULATED SUGAR
Gently exfoliates + retexturizes lips

KOKUM, COCOA + SHEA BUTTERS
Nourish + soften lips

COCONUT + SUNFLOWER OILS
Nourish + condition lips",,,0,0,0,0,13,13,1,1,ext_df461e9f2856b689eb1914a8,sig_28a7af30de8846969663a045,external_seed:ext_df461e9f2856b689eb1914a8,external_seed:ext_df461e9f2856b689eb1914a8,manual canonical gap review before write
